Age,Weight (kg)_mean,Height (m)_mean,Calories_Burned_mean,Water_Intake (liters)_mean,Workout_Frequency (days/week)_mean,BMI_mean,Physical exercise_mean,Carbs_mean,Proteins_mean,Fats_mean,Calories_mean,sugar_g_mean,sodium_mg_mean,cholesterol_mg_mean,Burns Calories (per 30 min)_mean,Sleep Duration_mean,Quality of Sleep_mean,Physical Activity Level_mean,Stress Level_mean,Heart Rate_mean,Daily Steps_mean,Gender_Male_pct,Gender_Female_pct,meal_type_Snack_pct,meal_type_Lunch_pct,meal_type_Breakfast_pct,meal_type_Dinner_pct,diet_type_Low-Carb_pct,diet_type_Vegan_pct,diet_type_Keto_pct,diet_type_Balanced_pct,diet_type_Paleo_pct,diet_type_Vegetarian_pct,cooking_method_Baked_pct,cooking_method_Boiled_pct,cooking_method_Raw_pct,cooking_method_Steamed_pct,cooking_method_Fried_pct,cooking_method_Roasted_pct,cooking_method_Grilled_pct,Sleep Disorder_Sleep Apnea_pct,Sleep Disorder_Insomnia_pct
18,74.07,1.7,1318.12,2.52,3.13,25.71,0.05,234.99,93.99,62.65,2012.33,24.08,1367.06,130.83,349.0,7.22,7.5,60.1,5.5,70.24,7000.0,49.62,50.38,24.52,27.57,23.95,23.95,15.4,18.63,13.69,16.73,19.39,16.16,12.93,14.07,14.45,12.93,14.83,14.26,16.54,0.445,0.4
19,72.99,1.74,1271.32,2.55,3.27,24.12,0.24,225.79,90.29,60.19,1997.75,27.41,1086.88,173.41,334.32,7.22,7.5,60.1,5.5,70.24,7000.0,52.18,47.82,21.83,25.0,25.4,27.78,17.46,15.48,16.47,19.25,14.68,16.67,13.29,13.49,12.1,16.27,14.29,15.48,15.08,0.445,0.4
20,85.38,1.75,1222.69,2.64,3.25,27.49,0.43,252.43,100.96,67.3,2310.86,22.35,1200.35,156.82,336.48,7.22,7.5,60.1,5.5,70.24,7000.0,49.04,50.96,25.7,26.98,25.27,22.06,17.13,16.92,17.34,16.7,16.7,15.2,14.99,15.85,14.35,12.21,13.06,16.27,13.28,0.445,0.4
21,78.07,1.72,1362.45,2.73,3.27,26.4,0.56,262.86,105.17,70.12,2122.81,23.94,1478.79,138.05,346.34,7.22,7.5,60.1,5.5,70.24,7000.0,51.95,48.05,23.41,26.83,24.15,25.61,13.9,18.29,12.93,18.78,18.29,17.8,17.07,12.44,14.63,14.63,13.9,12.44,14.88,0.445,0.4
22,76.83,1.72,1313.52,2.45,3.5,25.82,0.35,247.21,98.92,65.95,2110.82,21.0,1096.73,144.54,348.2,7.22,7.5,60.1,5.5,70.24,7000.0,49.08,50.92,25.74,27.57,21.32,25.37,17.65,14.71,17.46,17.1,15.07,18.01,14.89,13.42,15.99,15.44,13.79,13.24,13.24,0.445,0.4
23,76.03,1.74,1255.99,2.66,3.29,24.8,0.25,232.99,93.2,62.12,2072.08,24.74,1128.21,130.45,350.38,7.22,7.5,60.1,5.5,70.24,7000.0,47.45,52.55,26.46,23.18,24.82,25.55,15.88,17.52,18.25,14.05,15.33,18.98,12.41,13.32,14.78,16.24,17.15,13.14,12.96,0.445,0.4
24,63.22,1.7,1225.01,2.49,3.12,21.91,0.94,268.48,107.43,71.58,1759.02,19.48,1282.46,132.33,339.36,7.22,7.5,60.1,5.5,70.24,7000.0,50.15,49.85,22.19,25.23,27.36,25.23,16.41,20.67,18.24,16.72,14.89,13.07,12.77,13.98,14.89,18.24,13.07,13.07,13.98,0.445,0.4
25,72.23,1.75,1249.54,2.42,3.05,23.4,0.43,253.27,101.31,67.52,1965.32,22.85,1025.39,174.12,343.61,7.22,7.5,60.1,5.5,70.24,7000.0,47.28,52.72,25.89,24.58,24.95,24.58,17.82,15.01,15.57,16.7,15.57,19.32,15.95,12.95,13.88,15.38,13.7,13.32,14.82,0.445,0.4
26,72.78,1.68,1267.88,2.46,3.17,25.84,0.32,236.65,94.66,63.13,1975.95,28.52,1347.59,156.17,337.8,7.22,7.5,60.1,5.5,70.24,7000.0,49.65,50.35,24.59,25.53,26.0,23.88,17.73,16.78,15.84,15.6,16.78,17.26,15.6,12.53,15.84,13.95,13.95,12.53,15.6,0.445,0.4
27,80.16,1.76,1339.16,2.81,3.31,25.96,0.85,257.07,102.8,68.57,2198.11,26.68,1223.89,152.15,352.58,6.1,6.0,42.0,6.0,77.0,4200.0,47.31,52.69,23.23,28.9,22.38,25.21,16.15,17.0,15.3,15.01,20.68,15.58,15.58,14.16,13.03,17.56,13.03,14.16,12.18,0.445,0.4
28,79.75,1.73,1239.11,2.46,3.39,26.59,0.48,228.26,91.31,60.89,2172.95,19.55,1046.33,151.26,341.03,6.02,4.8,42.0,8.0,81.0,5800.0,49.89,50.11,22.2,26.43,27.06,23.26,18.18,16.28,19.66,13.32,16.49,15.01,12.9,14.16,15.22,15.01,11.21,14.59,15.86,0.42,0.21
29,81.78,1.76,1398.57,2.83,3.6,26.31,0.82,256.55,102.56,68.4,2246.89,23.16,1137.18,116.68,346.78,6.67,6.15,46.15,7.15,72.46,7038.46,48.8,51.2,21.88,24.51,25.6,25.16,15.32,12.69,17.51,15.97,17.72,17.94,14.66,15.75,14.66,12.69,12.69,13.57,13.13,0.44,0.44
30,83.69,1.77,1265.0,2.79,3.39,26.73,0.55,256.85,102.73,68.49,2271.32,25.9,1417.97,157.46,353.92,7.57,6.69,68.85,6.15,71.23,7400.0,51.16,48.84,24.16,26.48,24.68,21.34,17.99,17.99,16.45,15.68,12.85,15.68,14.14,13.88,13.88,14.91,11.83,13.37,14.65,0.26,0.26
31,64.18,1.7,1355.12,2.52,3.4,22.2,0.77,257.2,102.9,68.6,1790.73,21.86,1310.58,156.74,341.48,7.44,6.89,67.5,6.22,70.28,7433.33,54.06,45.94,25.74,20.99,24.75,24.95,17.43,14.26,18.02,15.84,16.44,14.46,14.26,11.49,14.26,14.65,14.85,13.27,13.66,0.2,0.4
32,77.88,1.72,1388.02,2.84,3.34,26.19,0.38,244.67,97.87,65.24,2111.35,28.8,1276.46,146.84,339.62,6.59,6.53,40.88,6.94,71.18,6000.0,49.0,51.0,25.28,24.83,22.62,23.5,17.96,14.86,17.52,17.52,16.63,11.75,13.75,14.86,14.41,15.08,10.42,15.74,11.97,0.445,0.4
33,70.17,1.67,1231.86,2.26,3.36,25.12,0.1,236.67,94.7,63.16,1929.25,21.34,1298.06,133.24,348.93,6.06,6.0,33.08,7.69,72.62,5076.92,53.29,46.71,23.58,25.17,21.54,26.76,15.87,17.01,16.33,11.79,18.82,17.23,16.1,12.93,15.19,12.24,12.02,12.7,15.87,0.445,0.23
34,77.13,1.68,1238.02,2.65,3.15,27.3,0.43,248.71,99.5,66.34,2088.03,28.44,1433.69,147.62,351.23,5.8,4.0,32.0,8.0,81.0,5200.0,48.9,51.1,24.75,26.55,24.55,23.75,13.17,16.17,16.57,17.56,18.76,17.37,17.17,12.97,12.77,16.57,12.18,15.57,12.38,0.4,0.4
